Operação	Nível	Conteúdo	Descrição	Animation
EqPrim_OpPrim_Sb_Num/Inc	3	SB	Você não pode operar um inteiro com uma incógnita.	DC
EqSec_OpFrac_MMC_Ad-Lin	1	MM	A operação realizada foi <eq t/1> + <eq t/2> ... e <eq /t2> + <eq /t2>. Isto é correto?#EQ	NO
EqSec_OpFrac_MMC_Sub-Lin	1	MM	A operação realizada foi <eq t/1> - <eq t/2> ... e <eq /t2> - <eq /t2>. Isto é correto?#EQ	NO
EqSec_OpFrac_MMC_Ad-Lin	2	MM	Como é realizada a soma/subtração de frações? O que deve ser calculado primeiro?	DC
EqSec_OpFrac_MMC_Sub-Lin	2	MM	Como é realizada a soma/subtração de frações? O que deve ser calculado primeiro?	DC
EqSec_OpFrac_MMC_Ad-Lin	3	MM	Observe que as frações a serem operadas possuem denominadores diferentes. O que você pode fazer para operá-las?	FR
EqSec_OpFrac_MMC_Sub-Lin	3	MM	Observe que as frações a serem operadas possuem denominadores diferentes. O que você pode fazer para operá-las?	FR
EqSec_OpFrac_MMC_Ad-Lin	4	MM	Para se resolver está operação você deve aplicar o MMC.	FR
EqSec_OpFrac_MMC_Sub-Lin	4	MM	Para se resolver está operação você deve aplicar o MMC.	FR
EqSec_OpFrac_MMC_Den_Num/Inc	1	MM	O Mínimo Múltiplo Comum foi calculado corretamente?	DC
EqSec_OpFrac_MMC_Den_Num/Inc	2	MM	Lembre-se das regras de cálculo do MMC, se há números e incógnitas nos denominadores, eles são unidos ou mantidos separados?	DC
EqSec_OpFrac_MMC_Den_Num/Inc	3	MM	No cálculo do MMC o valor obtido deve ser divisível por todos os denominadores da fração.	FR
EqSec_OpFrac_MMC_MtNumerador	1	MM	Após a aplicação do MMC, qual o próximo passo?	DC
EqSec_OpFrac_MMC_MtNumerador	2	MM	Utilize o MMC obtido em conjunto com os numeradores e denominadores, de cada fração, para calcular os novos valores das frações.	FR
EqSec_OpFrac_MMC_MtNumerador	3	MM	Lembre-se: o MMC deverá ser dividido pelo denominador e o resultado desta divisão deverá multiplicar o numerador.	DC
EqSec_OpFrac_Dv_Lin	1	DV	Está certo de que a divisão de frações é resolvida desta forma?	FR
EqSec_OpFrac_Dv_Lin	2	DV	Você dividiu <eq t/1> com <eq t/2> este processo é utilizado em outra operação. Como é o processo da divisão de frações?	TE
EqSec_OpFrac_Dv_Lin	3	DV	Divida <eq t/1> por <eq /t2> e <eq /t1> por <eq t/2>.	TE
EqSec_OpFrac_Mt_Inv	1	MT	Está certo de que multiplicação de frações é resolvida dessa forma?	FR
EqSec_OpFrac_Mt_Inv	2	MT	Você multiplicou <eq t/1> com <eq /t2> este processo é utilizado em outra operação. Como é o processo da multiplicação de frações?	TE
EqSec_OpFrac_Mt_Inv	3	MT	Multiplique <eq t/1> por <eq t/2> e <eq /t1> por <eq /t2>.	TE
EqSec_Distrib_MtTerm	1	DM	Não faltam termos a serem multiplicados?	EQ
EqSec_Distrib_MtTerm	2	DM	A operação distributiva da multiplicação é válida para todos os termos/números que estão entre os parênteses.	EQ
EqSec_Distrib_MtTerm	3	DM	Todos os termos da expressão <eq t*> devem ser multiplicados por cada termo da expressão <eq *t>.	TE
EqSec_Distrib_SinTerm	1	DM	Está certo de que a os sinais dos termos do resultado foram corretamente ajustados? Você multiplicou corretamente todos os termos? Os sinais estão corretos?	RA
EqSec_Distrib_SinTerm	2	DM	Como proceder com os sinais dos termos em uma multiplicação?	EQ
EqSec_Distrib_SinTerm	3	DM	Lembre-se: se há um valor negativo na multiplicação então o resultado é negativo, caso contrário é positivo.	EQ
EqSec_Par_~SinPref	1	MT	Não há outra operação que deve ser realizada primeiro?	DC
EqSec_Par_~SinPref	2	MT	Lembre-se da precedência de operadores.	DC
EqSec_Par_~SinPref	3	MT	Níveis de precedência: \n 1-() \n 2-[] \n 3-{} \n 4-Multiplicação e Divisão, na ordem que aparecem. \n 5-Soma e Subtração, na ordem que aparecem.	DC
OI_Ad_Ad	1	OI	Qual a operação inversa da soma?	DC
OI_Ad_Ad	2	OI	Mantenha o equilíbrio da equação: ao remover uma quantia de um lado você deve remover do outro lado também. Lembre-se do Princípio Aditivo.	LE
OI_Ad_Ad	3	OI	A operação inversa da soma é a subtração.	DC
OI_Sb_Sb	1	OI	Qual a operação inversa da subtração?	DC
OI_Sb_Sb	2	OI	Mantenha o equilíbrio da equação: ao adicionar uma quantia de um lado você deve adicionar no outro lado também. Lembre-se do Princípio Aditivo.	LE
OI_Sb_Sb	3	OI	A operação inversa da subtração é a soma.	DC
OI_Dv(+)_Dv(-)	1	OI	Você deve aplicar a operação inversa sobre a operação e não sobre os sinais dos termos.	RA
OI_Dv(+)_Dv(+)	1	OI	Você deve aplicar a operação inversa sobre a operação e não sobre os sinais dos termos.	RA
OI_Dv(-)_Dv(-)	1	OI	Você deve aplicar a operação inversa sobre a operação e não sobre os sinais dos termos.	RA
OI_Dv(-)_Dv(+)	1	OI	Você deve aplicar a operação inversa sobre a operação e não sobre os sinais dos termos.	RA
OI_Dv(+)_Dv(-)	2	OI	Qual é a operação?	DC
OI_Dv(+)_Dv(+)	2	OI	Qual é a operação?	DC
OI_Dv(-)_Dv(-)	2	OI	Qual é a operação?	DC
OI_Dv(-)_Dv(+)	2	OI	Qual é a operação?	DC
OI_Dv(+)_Dv(-)	3	OI	Você deve aplicar a regra da operação inversa sobre a divisão.	RA
OI_Dv(+)_Dv(+)	3	OI	Você deve aplicar a regra da operação inversa sobre a divisão.	RA
OI_Dv(-)_Dv(-)	3	OI	Você deve aplicar a regra da operação inversa sobre a divisão.	RA
OI_Dv(-)_Dv(+)	3	OI	Você deve aplicar a regra da operação inversa sobre a divisão.	RA
OI_Dv(+)_Mt(-)	1	OI	Você quase acertou na regra da operação inversa, pois algo a mais foi alterado.	RA
OI_Dv(-)_Mt(+)	1	OI	Você quase acertou na regra da operação inversa, pois algo a mais foi alterado.	RA
OI_Dv(+)_Mt(-)	2	OI	Esta alteração a mais que você fez seria correto se fosse operação inversa de duas outras operações.	RA
OI_Dv(-)_Mt(+)	2	OI	Esta alteração a mais que você fez seria correto se fosse operação inversa de duas outras operações.	RA
OI_Dv(+)_Mt(-)	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Dv(-)_Mt(+)	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Dv(-)_Ad	1	OI	A operação inversa que você realizou não é possível de ser realizada. Pois as operações são incompatíveis.	RA
OI_Dv(-)_Sb	1	OI	A operação inversa que você realizou não é possível de ser realizada. Pois as operações são incompatíveis.	RA
OI_Dv(+)_Ad	1	OI	A operação inversa que você realizou não é possível de ser realizada. Pois as operações são incompatíveis.	RA
OI_Dv(+)_Sb	1	OI	A operação inversa que você realizou não é possível de ser realizada. Pois as operações são incompatíveis.	RA
OI_Dv(-)_Ad	2	OI	Qual a operação inversa da divisão?	DC
OI_Dv(-)_Sb	2	OI	Qual a operação inversa da divisão?	DC
OI_Dv(+)_Ad	2	OI	Qual a operação inversa da divisão?	DC
OI_Dv(+)_Sb	2	OI	Qual a operação inversa da divisão?	DC
OI_Dv(-)_Ad	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Dv(-)_Sb	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Dv(+)_Ad	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Dv(+)_Sb	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Mt(+)_Mt(+)	1	OI	Você deve aplicar a operação inversa sobre a operação e não sobre os sinais dos termos.	RA
OI_Mt(+)_Mt(-)	1	OI	Você deve aplicar a operação inversa sobre a operação e não sobre os sinais dos termos.	RA
OI_Mt(-)_Mt(+)	1	OI	Você deve aplicar a operação inversa sobre a operação e não sobre os sinais dos termos.	RA
OI_Mt(-)_Mt(-)	1	OI	Você deve aplicar a operação inversa sobre a operação e não sobre os sinais dos termos.	RA
OI_Mt(+)_Mt(+)	2	OI	Qual é a operação?	RA
OI_Mt(+)_Mt(-)	2	OI	Qual é a operação?	RA
OI_Mt(-)_Mt(+)	2	OI	Qual é a operação?	RA
OI_Mt(-)_Mt(-)	2	OI	Qual é a operação?	RA
OI_Mt(+)_Mt(+)	3	OI	Você deve aplicar a regra da operação inversa sobre a multiplicação.	RA
OI_Mt(+)_Mt(-)	3	OI	Você deve aplicar a regra da operação inversa sobre a multiplicação.	RA
OI_Mt(-)_Mt(+)	3	OI	Você deve aplicar a regra da operação inversa sobre a multiplicação.	RA
OI_Mt(-)_Mt(-)	3	OI	Você deve aplicar a regra da operação inversa sobre a multiplicação.	RA
OI_Mt(+)_Ad	1	OI	A operação inversa que você realizou não é possível de ser realizada. Pois as operações são incompatíveis.	RA
OI_Mt(+)_Sb	1	OI	A operação inversa que você realizou não é possível de ser realizada. Pois as operações são incompatíveis.	RA
OI_Mt(-)_Ad	1	OI	A operação inversa que você realizou não é possível de ser realizada. Pois as operações são incompatíveis.	RA
OI_Mt(-)_Sb	1	OI	A operação inversa que você realizou não é possível de ser realizada. Pois as operações são incompatíveis.	RA
OI_Mt(+)_Ad	2	OI	Qual a operação inversa da multiplicação?	RA
OI_Mt(+)_Sb	2	OI	Qual a operação inversa da multiplicação?	RA
OI_Mt(-)_Ad	2	OI	Qual a operação inversa da multiplicação?	RA
OI_Mt(-)_Sb	2	OI	Qual a operação inversa da multiplicação?	RA
OI_Mt(+)_Ad	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Mt(+)_Sb	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Mt(-)_Ad	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Mt(-)_Sb	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Mt(+)_Dv(-)	1	OI	Você quase acertou na regra da operação inversa, pois algo a mais foi alterado.	RA
OI_Mt(-)_Dv(+)	1	OI	Você quase acertou na regra da operação inversa, pois algo a mais foi alterado.	RA
OI_Mt(+)_Dv(-)	2	OI	Está alteração a mais que você fez seria correto se fosse operação inversa de duas outras operações.	RA
OI_Mt(-)_Dv(+)	2	OI	Está alteração a mais que você fez seria correto se fosse operação inversa de duas outras operações.	RA
OI_Mt(+)_Dv(-)	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
OI_Mt(-)_Dv(+)	3	OI	Na operação inversa, não se altera o sinal do termo, apenas a operação. A operação inversa é multiplicação/divisão e não adição/subtração.	RA
EqSec_FC_Num	1	FT	Verifique se o termo colocado em evidência é múltiplo dos valores que estão sendo simplificados.	NO
EqSec_FC_Inc	1	FT	Verifique se o termo colocado em evidência é múltiplo dos valores que estão sendo simplificados.	NO
EqSec_FC_Num	2	FT	O termo em evidência deve ser comum a todos os fatores que estão entre parêntesis, portanto verifique sua resposta.	NO
EqSec_FC_Inc	2	FT	O termo em evidência deve ser comum a todos os fatores que estão entre parêntesis, portanto verifique sua resposta.	NO
EqSec_FC_Num	3	FT	Como há valores múltiplos, simplifique a expressão colocando o termo comum em evidência, resultando em <PP>.	NO
EqSec_FC_Inc	3	FT	Como há valores múltiplos, simplifique a expressão colocando o termo comum em evidência, resultando em <PP>.	NO
EqSec_RZ_Fat	1	RZ	Verifique se sua fatoração está correta.	NO
EqSec_RZ_Fat	2	RZ	Lembre-se que, por essa raiz não ser exata, o resultado poderá ser o produto de um ou mais valores.	NO
EqSec_RZ_Fat	3	RZ	Como <eq R> não resulta em uma raiz exata, então devemos simplificá-la resultando em <PP>.	NO
EqSec_RZ_Ext-Ad	1	RZ	Verifique se o quadrado de sua resposta resulta <eq tR>.	NO
EqSec_RZ_Ext-Sb	1	RZ	Verifique se o quadrado de sua resposta resulta <eq tR>.	NO
EqSec_RZ_Ext-Ad	2	RZ	Como o quadrado do valor informado não resulta em <eq tR>, verifique sua fatoração e extraia a raiz.	NO
EqSec_RZ_Ext-Sb	2	RZ	Como o quadrado do valor informado não resulta em <eq tR>, verifique sua fatoração e extraia a raiz.	NO
EqSec_RZ_Ext-Ad	3	RZ	Calcule <eq R> resultando em <PP>.	NO
EqSec_RZ_Ext-Sb	3	RZ	Calcule <eq R> resultando em <PP>.	NO
BK_Coef_a_c_b	1	BK	Os coeficientes da equação do 2º grau indicados por você estão corretos?	NO
BK_Coef_c_a_b	1	BK	Os coeficientes da equação do 2º grau indicados por você estão corretos?	NO
BK_Coef_b_a_c	1	BK	Os coeficientes da equação do 2º grau indicados por você estão corretos?	NO
BK_Coef_b_c_a	1	BK	Os coeficientes da equação do 2º grau indicados por você estão corretos?	NO
BK_Coef_c_b_a	1	BK	Os coeficientes da equação do 2º grau indicados por você estão corretos?	NO
BK_Coef_a_c_b	2	BK	Lembre-se que para determinar os coeficientes de uma equação do 2º grau, a mesma deve estar escrita na forma geral. 	NO
BK_Coef_c_a_b	2	BK	Lembre-se que para determinar os coeficientes de uma equação do 2º grau, a mesma deve estar escrita na forma geral. 	NO
BK_Coef_b_a_c	2	BK	Lembre-se que para determinar os coeficientes de uma equação do 2º grau, a mesma deve estar escrita na forma geral. 	NO
BK_Coef_b_c_a	2	BK	Lembre-se que para determinar os coeficientes de uma equação do 2º grau, a mesma deve estar escrita na forma geral. 	NO
BK_Coef_c_b_a	2	BK	Lembre-se que para determinar os coeficientes de uma equação do 2º grau, a mesma deve estar escrita na forma geral. 	NO
BK_Coef_a_c_b	3	BK	Verifique, antes de determinar os coeficientes, se sua equação esta escrita na forma geral: ax^2+bx+c=0.	NO
BK_Coef_c_a_b	3	BK	Verifique, antes de determinar os coeficientes, se sua equação esta escrita na forma geral: ax^2+bx+c=0.	NO
BK_Coef_b_a_c	3	BK	Verifique, antes de determinar os coeficientes, se sua equação esta escrita na forma geral: ax^2+bx+c=0.	NO
BK_Coef_b_c_a	3	BK	Verifique, antes de determinar os coeficientes, se sua equação esta escrita na forma geral: ax^2+bx+c=0.	NO
BK_Coef_c_b_a	3	BK	Verifique, antes de determinar os coeficientes, se sua equação esta escrita na forma geral: ax^2+bx+c=0.	NO
BK_Coef_a_c_b	4	BK	Se <eq =>, então a=<eq a>, b=<eq b> e c=<eq c>.	NO
BK_Coef_c_a_b	4	BK	Se <eq =>, então a=<eq a>, b=<eq b> e c=<eq c>.	NO
BK_Coef_b_a_c	4	BK	Se <eq =>, então a=<eq a>, b=<eq b> e c=<eq c>.	NO
BK_Coef_b_c_a	4	BK	Se <eq =>, então a=<eq a>, b=<eq b> e c=<eq c>.	NO
BK_Coef_c_b_a	4	BK	Se <eq =>, então a=<eq a>, b=<eq b> e c=<eq c>.	NO
